Album,Musica,Letra
Night Visions,Radioactive,"Oh, oh, oh Oh, oh, oh Oh, oh, oh Oh I'm waking up to ash and dust I wipe my brow and I sweat my rust I'm breathing in the chemicals I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse, ooh I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive I raise my flag, and dye my clothes It's a revolution, I suppose We're painted red to fit right in, ooh I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse, ooh I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive All systems go The Sun hasn't died Deep in my bones Straight from inside I'm waking up I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive Oh, oh, oh, oh, oh Oh, oh, oh, oh I'm radioactive, radioactive "
Night Visions,Tiptoe,"In the morning light Let my roots take flight Watch me fall above Like a vicious dove They don’t see me come Who can blame them They never seem to catch my eye But I’ve never wondered why I won’t fall asleep I won’t fall asleep Hey yeah Don’t let ‘em know we’re coming Hey yeah Tip toe higher Take some time to Simmer down, keep your head down low Hey yeah Tip toe higher From your slanted view See the morning dew Sink into the soil Watch the water boil They won’t see me run Who can blame them? They never look to see me fly So I never had to lie I won’t fall asleep I won’t fall asleep Hey yeah Don’t let ‘em know we’re coming Hey yeah Tip toe higher Take some time to Simmer down, keep your head down low Hey yeah Tip toe higher Nobody else Nobody else Nobody else can take me higher Nobody else can take me higher Nobody else can take me higher Nobody else Hey yeah Don’t let ‘em know we’re coming Hey yeah Tip toe higher Take some time to Simmer down, keep your head down low Hey yeah Tip toe higher Hey yeah Don’t let ‘em know we’re coming Hey yeah Tip toe higher Take some time to Simmer down, keep your head down low Hey yeah Tip toe highe "
Night Visions,It's Time,"So this is what you meant When you said that you were spent And now it's time to build from the bottom of the pit? Right to the top, don't hold back Packing my bags and giving the academy a rain check I don't ever wanna let you down I don't ever wanna leave this town 'Cause after all This city never sleeps at night It's time to begin, isn't it? I get a little bit bigger, but then I'll admit I'm just the same as I was Now, don't you understand That I'm never changing who I am? So this is where you fell, and I am left to sell The path to heaven runs through miles of clouded hell Right to the top, don't look back Turn in the rags and giving the commodities a rain check I don't ever wanna let you down I don't ever wanna leave this town 'Cause after all This city never sleeps at night It's time to begin, isn't it? I get a little bit bigger, but then I'll admit I'm just the same as I was Now, don't you understand That I'm never changing who I am? It's time to begin, isn't it? I get a little bit bigger, but then I'll admit I'm just the same as I was Now, don't you understand That I'm never changing who I am? This road never looked so lonely This house doesn't burn down slowly To ashes, to ashes It's time to begin, isn't it? I get a little bit bigger, but then I'll admit I'm just the same as I was Now, don't you understand That I'm never changing who I am? It's time to begin, isn't it? I get a little bit bigger, but then I'll admit I'm just the same as I was Now, don't you understand That I'm never changing who I am? "
Night Visions,Demons,"When the days are cold And the cards all fold And the saints we see Are all made of gold When your dreams all fail And the ones we hail Are the worst of all And the blood's run stale I wanna hide the truth I wanna shelter you But with the beast inside There's nowhere we can hide No matter what we breed We still are made of greed This is my kingdom come This is my kingdom come When you feel my heat Look into my eyes It's where my demons hide It's where my demons hide Don't get too close It's dark inside It's where my demons hide It's where my demons hide At the curtain's call Is the last of all When the lights fade out All the sinners crawl So they dug your grave And the masquerade Will come calling out At the mess you made Don't wanna let you down But I am hell bound Though this is all for you Don't wanna hide the truth No matter what we breed We still are made of greed This is my kingdom come This is my kingdom come When you feel my heat Look into my eyes It's where my demons hide It's where my demons hide Don't get too close It's dark inside It's where my demons hide It's where my demons hide They say it's what you make I say it's up to fate It's woven in my soul I need to let you go Your eyes, they shine so bright I wanna save that light I can't escape this now Unless you show me how When you feel my heat Look into my eyes It's where my demons hide It's where my demons hide Don't get too close It's dark inside It's where my demons hide It's where my demons hide "
Night Visions,On Top of the World,"If you love somebody Better tell them while they're here 'cause They just may run away from you You'll never know quite when, well Then again it just depends on How long of time is left for you I've had the highest mountains I've had the deepest rivers You can have it all, but life keeps moving I take it in, but don't look down 'Cause I'm on top of the world, hey I'm on top of the world, hey Waiting on this for a while now Paying my dues to the dirt I've been waiting to smile, hey Been holding it in for a while, hey Take you with me if I can Been dreaming of this since a child I'm on top of the world I've tried to cut these corners Try to take the easy way out I kept on falling short of something I could've gave up then, but Then again I couldn't have 'cause I've traveled all this way for something I take it in, but don't look down 'Cause I'm on top of the world, hey I'm on top of the world, hey Waiting on this for a while now Paying my dues to the dirt I've been waiting to smile, hey Been holding it in for a while, hey Take you with me if I can Been dreaming of this since a child I'm on top of the world Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh 'Cause I'm on top of the world, hey I'm on top of the world, hey Waiting on this for a while now Paying my dues to the dirt I've been waiting to smile, hey Been holding it in for a while, hey Take you with me if I can Been dreaming of this since a child And I know it's hard when you're falling down And it's a long way up when you hit the ground Get up, now, get up, get up, now And I know it's hard when you're falling down And it's a long way up when you hit the ground Get up, now, get up, get up, now 'Cause I'm on top of the world, hey I'm on top of the world, hey Waiting on this for a while now Paying my dues to the dirt I've been waiting to smile, hey Been holding it in for a while, hey Take you with me if I can Been dreaming of this since a child I'm on top of the world "
Night Visions,Amsterdam,"I’m sorry, mother I’m sorry, I let you down Well, these days I’m fine No these days I tend to lie I’ll take the Western train, just by the side Of Amsterdam Just by my left brain, just by the side of the Tin Man I’m sorry, brother I’m sorry, I let you down Well, these days you’re fine No these days you tend to lie You’ll take the Western train, just by the side of Amsterdam Just by your left the brain, just by the side of the Tin Man Your time will come If you wait for it, if you wait for it It’s hard, believe me, I’ve tried But I keep coming up short I’m sorry, lover I’m sorry I bring you down Well, these days I try and these days I tend to lie Kinda thought it was a mystery and then I thought I Wasn’t meant to be You set yourself fantastically Congratulations, you are all alone Your time will come If you wait for it, if you wait for it It’s hard, believe me, I’ve tried Your time will come If you wait for it, if you wait for it It’s hard, believe me, I’ve tried But the rain won’t fall for the both of us The Sun won’t shine on the both of us Believe me when I say That I wouldn’t have it any other way Your time will come If you wait for it, if you wait for it It’s hard, believe me, I’ve tried But I won’t wait much longer, ‘cause these walls They’re crashing down No, I won’t wait much longer, ‘cause these walls They’re crashing down And I keep coming up short "
Night Visions,Hear Me,"Try to hear my voice You can leave, it's your choice Maybe if I fall asleep, I won't breathe right Maybe if I leave tonight, I won't come back I said it before, I won't say it again Love is a game to you, it's not pretend Maybe if I fall asleep, I won't breathe right Can nobody hear me? I've got a lot that's on my mind I cannot breathe Can you hear it too? You kiss and you kiss And you love and you love You've got a history list And the rest is above And if you're warm, then you can't relate to me From the floor to the floor And the sky to the sky You've got to love and adore and the rest is a lie And if you're warm, then you can't relate to me I said it before, I won't say it again Love is a game to you, it's not pretend Maybe if I fall asleep, I won't breathe right Can nobody hear me? I've got a lot that's on my mind I cannot breathe Can you hear it too? Leave your shoes at the door, baby I am all you adore, lately Come with me and we will run away Can nobody hear me? I've got a lot that's on my mind I cannot breathe Can you hear it too? Can nobody hear me? I've got a lot that's on my mind I cannot breathe Can you hear it too? "
Night Visions,Every Night,"I’m coming home to you Every night I’m the colorless sunrise That’s never good enough I’m the wind that’s in your hair That ruffles you up (If) you can find a reason You can let me know I won’t blame you I’ll just turn and go I’m coming home to you Every night Coming home to you Every night My mind is made up Nothing could change that I’m coming home to you Every night Searching to find myself But all I find is you I can hardly stand myself So what am I to you? (If) you can find a reason You could let me know I won't blame you I'll just turn and go I’m coming home to you Every night Coming home to you Every night My mind is made up Nothing could change that I’m coming home to you Every night No matter, no matter No matter what we’re facing It don’t matter, don’t matter Cause the reason that I’m here Is the same through all these years Not changing, not changing Anything at all I’m coming home to you Every night Coming home to you Every night My mind is made up Nothing could change that I’m coming home to you Every night "
Night Visions,Bleeding Out,"I’m bleeding out So if the last thing that I do Is bring you down I’ll bleed out for you So I peel my skin And I count my sins And I close my eyes and I take it in I’m bleeding out I’m bleeding out for you For you When the day has come That I’ve lost my way around And the seasons stop And hide beneath the ground When the sky turns grey And everything is screaming I will reach inside Just to find my heart is beating Oh, you tell me to hold on Oh, you tell me to hold on But innocence is gone And what was right is wrong Cause I’m bleeding out So if the last thing that I do Is bring you down I’ll bleed out for you So I bare my skin And I count my sins And I close my eyes and I take it in I’m bleeding out I’m bleeding out for you For you When the hour is nigh And hopelessness is sinking in And the wolves all cry To fill the night with hollering When your eyes are red And emptiness is all you know With the darkness fed I will be your scarecrow You tell me to hold on Oh, you tell me to hold on But innocence is gone And what was right is wrong Cause I’m bleeding out So if the last thing that I do Is bring you down I’ll bleed out for you So I bare my skin And I count my sins And I close my eyes and I take it in I’m bleeding out I’m bleeding out for you For you Cause I’m bleeding out So if the last thing that I do Is bring you down I’ll bleed out for you So I bare my skin And I count my sins And I close my eyes and I take it in I’m bleeding out I’m bleeding out for you For you "
Night Visions,Underdog,"Early morning take me over Father, father, father Take me to the top Early morning wake me up Father, father, father This is not enough Hey, that sounds like my luck I get the short end of it Oh, I love to be I love to be the underdog Hey, that sounds like my luck I get the short end of it Oh, I love to be I love to be the underdog Early evening settle down Father, father, father Who am I to blame? Early evening hush me over Father, father, father Are we just the same? Hey, that sounds like my luck I get the short end of it Oh, I love to be I love to be the underdog Hey, that sounds like my luck I get the short end of it Oh, I love to be I love to be the underdog Living the low life Low life Living the low life Hey, that sounds like my luck I get the short end of it Oh, I love to be I love to be the underdog Hey, that sounds like my luck I get the short end of it Oh, I love to be I love to be the underdog "
